,Company,Score
0,curio.io,0.3217
1,Zyllem,0.9913
2,Taxumo,0.0696
3,GolfConnect24,0.9739
4,Mober,0.2261
5,Good Meal Hunting,0.9565
6,Lokadok ,0.9478
7,OrbLeaf,0.9391
8,TempoGo,0.9304
9,BookMyStorage,0.3391
10,Raydar,0.1478
11,HaloHola,0.9043
12,Uploan,0.0174
13,Magpie ,0.887
14,Sauceink,0.8783
15,R2 Robotronics,0.1565
16,Arto,0.8609
17,SkipMenu,0.8522
18,First Counsel,0.8435
19,Tauro,0.8348
20,Psyquation,0.1652
21,Perpule,0.1913
22,godamwale,0.8087
23,MedLabz,0.8
24,Fetch,0.7913
25,Playtoome,0.7826
26,Wedding Easy,0.7739
27,Blogapalooz,0.7652
28,Tralulu,0.0348
29,Ferosh,0.3043
30,Cropital,0.3304
31,SendHelper,0.7304
32,Orbitrr,0.2
33,Averspace,0.3739
34,flexwave,0.7043
35,Phone Swap,0.6957
36,Travel Dil Se,0.687
37,Swoop,0.087
38,Book it,0.6696
39,Dion Online,0.6609
40,Techspeare,0.0609
41,AdMov,0.4
42,Bombay Duck Brewery,0.6348
43,Tera App,0.6261
44,Myvi,0.6174
45,Bilingua,0.3652
46,Shoplocal.ph,0.1043
47,Refly,0.5913
48,Ludiino,0.5826
49,attores,0.5739
50,NickelRing,0.5652
51,Gritjam,0.5565
52,all service insurance agency,0.5478
53,Bee-Glasses,0.5391
54,Drop Deck,0.5304
55,0,0.4087
56,All Service Insurance Agency Pte. Ltd.,0.3913
57,ARTO Gallery,0.3826
58,Bombay High Brewing,0.3565
59,bookit,0.3478
60,Diononline,0.313
61,Flexwave Co Ltd,0.2957
62,Godamwale,0.287
63,GoodMealHunting,0.2783
64,Halo Hola,0.2696
65,halohola,0.2609
66,HolaHola,0.2522
67,Magpie.IM,0.2435
68,Medlabz,0.2348
69,MYVI,0.2174
70,NickleRing,0.2087
71,PhoneSwap,0.1826
72,Playtoome.com,0.1739
73,refly,0.1391
74,refly ,0.1304
75,SAUCEink,0.1217
76,Sendhelper,0.113
77,Skipmenu,0.0957
78,Tauro Wealth,0.0783
79,tempogo,0.0522
80,TeraApp.net,0.0435
81,Travel Dil Se India Pvt Ltd,0.0261
82,WeddingEasy,0.0087
83,zyllem,0.0
