,expert_name,startup_name,How well can team execute their presented plans ?,How strong is the team composition in terms of its complementary skills and completeness of critical functions ?,How high did you sense was the passion of the founder/founding team ?,How high is the clarity and understanding of the team re: different customer personas ?,How unique & differentiated is the value proposition ?,How large is the absolute market opportunity for the venture ?,How impressive is the early stage traction and adoption of the product in the market ?,How high is the competitive index given direct competition & available alternatives for the proposed offering by the venture ?,How high is the strength of revenue projection in the business model ?,How lucrative does the exit potential for this business appears with either of the possible ways viz: potential trade sales or M&A with big Cos or IPO etc. ?,How high is trend momentum for the domain that startup is active in with its offerings ?,How relevant do the metrics and milestones of of this business model appear ?,How high is the defensibility of the solution from technology or any operating leverage point of view ?,How high is the business momentum and pipeline of business ?,How high are the chances for the business to extend beyond its currently served markets ?,How high is the competitive advantage for this business ?,How high are the chances for the business to extend beyond its currently served geographies ?,Founding team,Technology,Marketing,Biz dev,Advisors,Potential Execution Risks,Revenue Risks,Competitive Advantage,Overall Assessment
1,Prashant,Urban Kisan,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,1,0,1,0.5,0.5,0.5,0.0
2,Prashant,Perkfec,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,0,0,0,0,0,0.6031,0.5,0.0,0.0
3,Prashant,Sociograph Solutions Private Limited,0.3333333333333333,0.6666666666666666,-0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.0,1,1,0,0,1,0.1452,0.44865,1.0,0.5
4,Prashant,SoVou,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,-0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,1,1,0,1,0.7997000000000001,0.8544499999999999,0.5,0.5
5,David Isaac,Perkfec,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,1,0,0,1,0.8982,0.9769,1.0,0.5
6,Prashant,Bodhi Health Education,0.6666666666666666,0.3333333333333333,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,1,0,1,0.29845,0.6366,0.5,0.5
7,Prashant,Datoin,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.0,1,1,0,0,1,0.97845,0.3294,1.0,0.5
8,Prashant,Mate Labs,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,1,1,0,0,0.9677,0.9500500000000001,1.0,0.5
9,Nandini Das Ghoshal,Silkrouter,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,-0.0,-0.0,-0.0,1,1,1,0,1,0.7202,0.12104999999999999,1.0,0.5
10,Vishesh Dhingra,Leverage.ph,-0.0,-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.0,-0.0,1.0,0.3333333333333333,-0.0,-0.0,0.3333333333333333,0.3333333333333333,1,1,0,1,1,0.6909,0.6909,1.0,1.0
11,David Isaac,Yellow messenger,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.0,0.5,0.6666666666666666,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,1,0,0,0,1,0.9425,0.86555,1.0,1.0
