,expert_name,startup_name,How well is the problem identified and defined?,What is the level of pain area felt / perceived by the target customers / consumers?,What is the level of uniqueness in the proposition for the venture?,How high are the defensible technology barriers in the business? (High being 4),What is the strength of the competitive advantage in the business model?,What is the level of competition in terms of alternatives available ?,Low Price,Superior Quality,Distribution Leverage,Geographic Presence,Other,What is the level of sustainability of the competitive advantage in the next 24 months?,No Traction yet,Some Free Customers,Lots of Free Customers,Some Paid Customers,Growing Fast,Other,Are the business milestones for the next 24 months exciting?,Other,How feasible do you think is the Go To Market plan in next 12-18 month timeframe ?,What is the level of understanding and clarity of the financial projections by the team ?,Does the business model has high level of operating leverage & scalability potential ?,How do you think is the ability of the team to manage risks with Plan B ?,How would you rate the likability & connect with the Founder and his authenticity?,Other,Other,How did you find the overall presentation quality in terms of clarity and impact through communication ?,"How would you rate the quality of presentation deck in terms of clarity, scope, visual impact & simplicity ?",What is the overall feasibility of the business going forward ?,Addressable Market Size,Technology Barrier,Go to market plan strength,Revenue Stage,Product Uniqueness
1,Madhulika Sachdeva,Waitrr,-0.0,0.3333333333333333,0.6666666666666666,1.0,0.5,0.0,1,1,0,0,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0
2,Madhulika Sachdeva,BYKidO,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,1.0,1,0,0,0,0.0,0.0,1,1,1,0,1,0.0,0,0.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Madhulika Sachdeva,FINIZZ,-0.0,-0.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1,1,0,0,0.0,0.0,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.5,0.5,0.0
4,Madhulika Sachdeva,Ayoslide,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1,1,0,0,0.0,0.0,1,1,1,1,0,0.0,1,0.0,0.6666666666666666,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,0.0
5,Madhulika Sachdeva,University Living Accommodation Pvt Ltd,-0.0,-0.0,0.6666666666666666,1.0,0.5,0.5,1,1,0,0,0.0,0.0,1,1,1,0,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.5,0.0,0.0,0.5,1.0
6,Madhulika Sachdeva,GetFly,-0.0,0.3333333333333333,0.6666666666666666,1.0,0.5,0.5,0,1,0,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.0
7,Marc Nicollet,Into23,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,1.0,1,1,1,1,0.77115,0.5,1,1,0,1,1,0.77115,1,0.77115,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.77115,0.77115,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,0.5,0.5,0.0
8,Marc Nicollet,Stones2Milestones,-0.0,0.3333333333333333,-0.0,0.3333333333333333,1.0,0.0,1,1,0,1,0.0,1.0,1,1,1,1,0,0.0,1,0.0,-0.0,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,-0.0,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,1.0
9,Marc Nicollet,Alakazam,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,1,0,1,1,0.0,0.0,0,0,1,1,1,0.0,1,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,0.0,0.5,0.0
10,Marc Nicollet,Woofyz Pet Services Pvt Ltd,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.0,1,1,1,1,0.5,0.5,1,0,1,1,1,0.5,1,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,1.0,0.5,0.5,0.0,1.0
11,Marc Nicollet,AIRPORTELs,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5,1,0,1,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.5,1.0,1.0,1.0
12,Marc Nicollet,NayaGaadi,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,1,1,1,1,0.5,0.0,1,1,1,0,1,0.5,1,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.5,0.5,0.0
13,Fred Then,carmen automotive pte ltd,-0.0,0.3333333333333333,-0.0,-0.0,1.0,0.0,1,1,0,0,0.0,1.0,1,1,1,0,1,0.0,1,0.0,-0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.5,1.0
14,Fred Then,BotFactory,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5,1,0,1,1,0.7202,0.5,1,1,1,0,1,0.7202,1,0.7202,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.7202,0.7202,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,0.0,1.0
15,Fred Then,GamerHours,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0,1,0,1,0.0,0.0,1,0,1,1,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0
16,Fred Then,gridComm,-0.0,-0.0,0.3333333333333333,-0.0,1.0,1.0,0,0,1,0,0.0,1.0,1,1,1,1,0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.0,-0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,1.0
17,Fred Then,Brisil Technologies Private Limited,-0.0,-0.0,-0.0,0.3333333333333333,0.5,0.5,1,1,0,0,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,1.0
18,Fred Then,Go Plus,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,0,1,0,0,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,1.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5,0.0,0.0,0.5
19,Fred Then,Quickscrum,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0,1,0,1,0.0,0.0,1,1,1,1,0,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
20,Fred Then,Sepio Products,-0.0,-0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1,1,0,0,0.0,0.5,1,1,1,0,0,0.0,1,0.0,-0.0,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,1.0
21,Fred Then,Air Freight Bazaar,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1,0,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,-0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.5,0.5,0.0,0.5
22,Fred Then,Got It,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1,1,0,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,-0.0,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,0.5,0.5
23,Fred Then,MIFON,-0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,0,1,0,0,0.0,0.0,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,0.5,0.0,0.5,0.5
24,Fred Then,PHI,-0.0,-0.0,-0.0,-0.0,1.0,0.5,1,1,0,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,-0.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,1.0
25,Fred Then,HyperXchange,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,0,0,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.5
26,Fred Then,PriceMap,-0.0,-0.0,-0.0,0.6666666666666666,1.0,0.5,0,0,0,1,0.0,0.5,1,0,1,1,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,-0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.0,0.5,0.0,0.5
27,David Wai Lun Ng,Tesseract Global Technologies Pvt Ltd,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,1.0,1,0,1,1,0.0,0.0,1,0,1,1,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.5,0.5,0.5,0.0
